"Date";"Volume";"Trades";"Bar Size";"High";"Low";"Open";"Close";"Delta T/D";"Delta Aggressor";"H/L Side";"O/C Side";"O/C Size";"Max Volume";"M/V Price";"M/V Trades";"M/V Delta T/D";"M/V Delta Aggressor";"Max Trade";"Max Tick";"Ticks Number";"Hidden Volume";"TPO High";"TPO Low";"COT High";"COT Low";"Max Delta T/D";"Max Delta Aggressor"
"2023-07-18 15:00:00";"53631";"21047";"20";"4587,75";"4583";"4587,5";"4583";"-4117";"-2033";"-1";"-1";"18";"5408";"4586";"2005";"340";"424";"-81";"-658";"2601";"0";"4586";"4583,75";"-1129";"-73";"-1067";"-763"
"2023-07-18 14:00:00";"228460";"119954";"43";"4594,5";"4584";"4587,25";"4587,75";"486";"1300";"1";"1";"2";"18393";"4587,75";"6636";"-2089";"-963";"130";"-861";"7761";"4887";"4591,25";"4587";"-1073";"979";"3499";"-1736"
"2023-07-18 13:00:00";"119404";"71433";"38";"4590";"4580,75";"4580,75";"4587,25";"-2570";"-1688";"1";"1";"26";"9429";"4584";"5640";"1245";"289";"-145";"-468";"5242";"2655";"4587,75";"4583,5";"-2453";"-2180";"2204";"1316"
"2023-07-18 12:00:00";"69787";"46102";"30";"4580,75";"4573,5";"4574";"4580,25";"4375";"621";"1";"1";"25";"6633";"4577,5";"4494";"-371";"-191";"-106";"370";"3501";"7010";"4579,5";"4576,5";"167";"24";"2017";"-464"
"2023-07-18 11:00:00";"116128";"79726";"36";"4578,5";"4569,75";"4577,75";"4573,75";"-6596";"-2968";"-1";"-1";"16";"10242";"4575";"7202";"-1102";"-638";"-127";"-344";"4945";"822";"4576,5";"4573,75";"-2900";"-501";"1712";"-1133"
"2023-07-18 10:00:00";"163914";"106995";"55";"4579,5";"4566";"4568";"4577,5";"5614";"-184";"1";"1";"38";"10688";"4570,25";"7457";"-494";"-622";"-135";"508";"6681";"52";"4575,25";"4566,75";"370";"2886";"1899";"1117"
"2023-07-18 09:00:00";"140278";"97239";"40";"4568,5";"4558,75";"4560,5";"4568";"5372";"-3990";"1";"1";"30";"10532";"4561,5";"7344";"-502";"-1146";"-167";"307";"6708";"116";"4563,75";"4560";"-1472";"131";"2370";"-1152"
"2023-07-18 08:00:00";"187101";"124344";"67";"4561,75";"4545,25";"4548";"4560,25";"6539";"9269";"1";"1";"49";"10210";"4548,75";"6317";"-3916";"-440";"142";"554";"8091";"60";"4555,25";"4545,5";"1910";"4857";"-3916";"1609"
"2023-07-18 07:00:00";"33741";"24315";"33";"4552,75";"4544,75";"4551";"4548,25";"1355";"-215";"-1";"-1";"11";"2798";"4550,75";"1947";"456";"296";"84";"142";"2909";"401";"4551,25";"4547,25";"-910";"431";"618";"516"
"2023-07-18 06:00:00";"10932";"7423";"16";"4552,75";"4549";"4551,5";"4550,75";"-1168";"654";"-1";"-1";"3";"1301";"4552,25";"998";"-381";"45";"-125";"-184";"1032";"0";"4552,25";"4550,5";"451";"1171";"-381";"249"
"2023-07-18 05:00:00";"7980";"6195";"23";"4555,5";"4550";"4554,5";"4551,5";"-662";"-366";"-1";"-1";"12";"846";"4552,5";"635";"72";"110";"-20";"-129";"854";"1";"4553,5";"4550,5";"-415";"-27";"-292";"-135"
"2023-07-18 04:00:00";"6709";"5061";"16";"4555,25";"4551,5";"4551,5";"4554,25";"79";"321";"1";"1";"11";"851";"4552,25";"625";"-43";"-39";"15";"-88";"788";"51";"4554";"4551,75";"-69";"291";"308";"114"
"2023-07-18 03:00:00";"10206";"7293";"25";"4555,75";"4549,75";"4553";"4551,5";"-334";"172";"-1";"-1";"6";"1012";"4554";"711";"78";"-66";"150";"171";"1035";"0";"4555,25";"4553";"-280";"52";"-366";"148"
