"Date";"Volume";"Trades";"Bar Size";"High";"Low";"Open";"Close";"Delta T/D";"Delta Aggressor";"H/L Side";"O/C Side";"O/C Size";"Max Volume";"M/V Price";"M/V Trades";"M/V Delta T/D";"M/V Delta Aggressor";"Max Trade";"Max Tick";"Ticks Number";"Hidden Volume";"TPO High";"TPO Low";"COT High";"COT Low";"Max Delta T/D";"Max Delta Aggressor"
"2020-11-17 17:00:00";"4008";"3021";"24";"3607,5";"3601,75";"3604,5";"3607";"152";"230";"1";"1";"10";"473";"3603,5";"362";"45";"-23";"-38";"89";"597";"0";"3605";"3602,5";"-28";"270";"84";"111"
"2020-11-17 17:30:00";"4219";"3435";"21";"3611,75";"3606,75";"3607";"3609,75";"241";"269";"1";"1";"11";"403";"3609,5";"343";"53";"77";"35";"57";"507";"2";"3610,75";"3608,25";"-149";"288";"117";"118"
"2020-11-17 18:00:00";"9039";"7033";"50";"3610,5";"3598,25";"3609,75";"3599";"-1653";"-1207";"-1";"-1";"43";"494";"3601,5";"374";"-58";"-58";"45";"-115";"880";"1";"3604,75";"3599,75";"-1204";"136";"-186";"-154"
"2020-11-17 18:30:00";"4745";"3819";"22";"3601";"3595,75";"3599";"3599,5";"-489";"-287";"-1";"1";"2";"451";"3599";"344";"83";"27";"-21";"-102";"499";"0";"3599,5";"3597";"-43";"121";"-190";"-103"
"2020-11-17 19:00:00";"4429";"3593";"29";"3602,75";"3595,75";"3599,5";"3596,75";"129";"7";"-1";"-1";"11";"379";"3601,5";"333";"35";"31";"-42";"-66";"419";"0";"3602,75";"3599";"-306";"15";"120";"73"
"2020-11-17 19:30:00";"3979";"3401";"22";"3600,75";"3595,5";"3596,75";"3596,5";"-535";"-199";"1";"-1";"1";"384";"3599,5";"274";"-102";"-62";"-31";"-107";"419";"0";"3600";"3597,25";"-146";"-114";"-107";"-62"
"2020-11-17 20:00:00";"3559";"2805";"15";"3598,5";"3595";"3596,5";"3596";"-223";"-25";"1";"-1";"2";"550";"3596,5";"420";"-58";"64";"-16";"84";"342";"0";"3597,5";"3596";"-103";"50";"-168";"-174"
"2020-11-17 20:30:00";"3429";"2788";"25";"3602,25";"3596,25";"3596,25";"3602";"539";"483";"1";"1";"23";"331";"3597,75";"257";"45";"45";"18";"54";"332";"4";"3600,25";"3596,25";"0";"449";"133";"65"
"2020-11-17 21:00:00";"1756";"1521";"9";"3602,25";"3600,25";"3602";"3600,25";"-328";"-82";"-1";"-1";"7";"388";"3601,25";"333";"-156";"-14";"8";"-52";"174";"0";"3601,5";"3600,75";"-85";"0";"-156";"-74"
"2020-11-17 21:30:00";"2863";"2265";"22";"3604,25";"3599";"3600,5";"3602,75";"335";"175";"1";"1";"9";"396";"3603";"273";"70";"28";"25";"88";"285";"0";"3604";"3600,5";"-85";"271";"-117";"-93"
"2020-11-17 22:00:00";"2515";"2042";"17";"3604,25";"3600,25";"3602,75";"3601,75";"-89";"9";"1";"-1";"4";"409";"3603";"328";"71";"53";"-10";"-81";"238";"0";"3603,75";"3602";"-39";"97";"85";"-55"
"2020-11-17 22:30:00";"3602";"2493";"20";"3603,25";"3598,5";"3601,75";"3600,25";"-278";"-10";"-1";"-1";"6";"551";"3601";"362";"197";"135";"44";"-188";"247";"0";"3601,5";"3599,25";"-152";"127";"-266";"-268"
"2020-11-17 23:00:00";"5663";"3999";"44";"3603,5";"3592,75";"3600";"3593,75";"-803";"-517";"-1";"-1";"25";"357";"3593,75";"269";"85";"-29";"-78";"-173";"483";"0";"3600,75";"3592,75";"-827";"-10";"-203";"-201"
"2020-11-17 23:30:00";"4426";"3684";"15";"3595";"3591,5";"3593,75";"3594,25";"6";"98";"1";"1";"2";"599";"3594,5";"482";"249";"245";"-18";"65";"473";"0";"3594,75";"3593,25";"0";"242";"249";"245"
"2020-11-18 00:00:00";"5209";"4499";"39";"3595,75";"3586,25";"3594";"3587,25";"-869";"-617";"-1";"-1";"27";"517";"3593,75";"475";"71";"-39";"-30";"-75";"547";"0";"3595,5";"3589";"-651";"0";"-179";"-75"
"2020-11-18 00:30:00";"4200";"3374";"18";"3590";"3585,75";"3587,25";"3589";"-84";"286";"1";"1";"7";"649";"3588";"510";"-229";"-89";"-25";"-106";"441";"0";"3589,25";"3587,75";"-47";"219";"-229";"183"
"2020-11-18 01:00:00";"3444";"2825";"23";"3594,5";"3589";"3589";"3593,75";"384";"60";"1";"1";"19";"442";"3591,75";"373";"-16";"-24";"-32";"90";"403";"0";"3592,75";"3589,75";"1";"59";"-112";"-87"
"2020-11-18 01:30:00";"5192";"4185";"35";"3601,5";"3593";"3594";"3596,25";"166";"384";"1";"1";"9";"390";"3598,5";"299";"-98";"-16";"-35";"-89";"522";"1";"3600,75";"3596,75";"-17";"393";"157";"115"
"2020-11-18 02:00:00";"12769";"9734";"66";"3611";"3594,75";"3596,25";"3608";"525";"-413";"1";"1";"47";"651";"3596";"444";"-109";"-165";"-75";"-174";"1119";"1";"3606,25";"3595";"-206";"-265";"196";"-234"
"2020-11-18 02:30:00";"6889";"4991";"25";"3608,75";"3602,75";"3607,75";"3602,75";"-693";"-683";"-1";"-1";"20";"1131";"3605";"754";"-43";"-19";"-37";"88";"525";"0";"3605,5";"3604";"-696";"0";"239";"-170"
"2020-11-18 03:00:00";"6576";"4885";"39";"3612";"3602,5";"3603";"3610,25";"484";"440";"1";"1";"29";"374";"3603";"262";"12";"-6";"27";"79";"533";"1";"3609,25";"3602,5";"0";"513";"158";"91"
"2020-11-18 03:30:00";"5108";"3625";"14";"3611,5";"3608,25";"3610,25";"3610,25";"106";"-572";"1";"0";"0";"1082";"3610";"689";"96";"-132";"27";"116";"388";"3";"3610,75";"3609,75";"-162";"-270";"145";"-158"
"2020-11-18 04:00:00";"7573";"5379";"34";"3618";"3609,75";"3610,25";"3617,5";"1161";"819";"1";"1";"29";"925";"3614";"623";"195";"157";"44";"121";"586";"182";"3617,25";"3613,5";"0";"855";"225";"157"
"2020-11-18 04:30:00";"7458";"4396";"17";"3617,75";"3613,75";"3617,5";"3615,25";"126";"108";"-1";"-1";"9";"1021";"3615,75";"606";"429";"41";"73";"184";"317";"1";"3615,75";"3614,5";"263";"215";"429";"179"
