"Date";"Volume";"Trades";"Bar Size";"High";"Low";"Open";"Close";"Delta T/D";"Delta Aggressor";"H/L Side";"O/C Side";"O/C Size";"Max Volume";"M/V Price";"M/V Trades";"M/V Delta T/D";"M/V Delta Aggressor";"Max Trade";"Max Tick";"Ticks Number";"OI Delta";"Hidden Volume";"TPO High";"TPO Low";"COT High";"COT Low";"Max Delta T/D";"Max Delta Aggressor"
"2024-01-19 00:00:00";"655032";"439953";"132";"4841,25";"4808,5";"4811,25";"4826,25";"-7380";"812";"1";"1";"60";"15686";"4822,25";"10199";"-816";"128";"217";"-561";"40958";"0";"38997";"4827,5";"4815,5";"-2490";"868";"2084";"-1706"
"2024-01-18 00:00:00";"1659531";"1026404";"215";"4817";"4763,5";"4768";"4810,75";"30673";"34891";"1";"1";"171";"30923";"4785";"13638";"15863";"13911";"1144";"1224";"7648";"0";"0";"4796,5";"4772,25";"1628";"35011";"15863";"13911"
"2024-01-17 00:00:00";"1599359";"959066";"219";"4800,75";"4746,25";"4799,75";"4769,25";"-37387";"-12937";"-1";"-1";"122";"29116";"4765";"14934";"-5808";"-7788";"-700";"-1013";"7704";"12502";"0";"4774";"4759";"-13209";"13900";"-5808";"-7788"
"2024-01-16 00:00:00";"1675835";"1165047";"146";"4815,75";"4779,5";"4811,5";"4799";"-11179";"-25739";"-1";"-1";"50";"30095";"4798";"15520";"-1449";"-1581";"-650";"950";"8294";"-4933";"0";"4803,75";"4787,75";"-13200";"2064";"-2805";"2735"
"2024-01-15 00:00:00";"155320";"115786";"67";"4823";"4806,5";"4812";"4813,5";"2648";"3856";"1";"1";"6";"8163";"4811,75";"5946";"-637";"-211";"71";"155";"3836";"20504";"25";"4813,75";"4807,25";"575";"4031";"1473";"1491"
"2024-01-12 00:00:00";"1458580";"1003530";"181";"4836,5";"4791,5";"4811,25";"4811,25";"1964";"-8382";"1";"0";"0";"34735";"4816,5";"19784";"-1893";"-1681";"500";"1025";"8192";"-1356";"0";"4819";"4805,75";"-16630";"-5842";"-2380";"-2004"
"2024-01-11 00:00:00";"1739692";"1196623";"262";"4838";"4772,75";"4820,5";"4812";"-266";"11596";"-1";"-1";"34";"19586";"4813";"13430";"800";"340";"357";"-671";"8194";"-6174";"0";"4832,5";"4793,5";"7105";"7981";"-3667";"2905"
"2024-01-10 00:00:00";"1300997";"811715";"171";"4828,5";"4786";"4790,75";"4820,25";"-4567";"15051";"1";"1";"118";"20488";"4805,25";"13242";"1244";"586";"-300";"-970";"6385";"2916";"0";"4816,25";"4789,5";"-2307";"14468";"3434";"2126"
"2024-01-09 00:00:00";"1296753";"810956";"147";"4804";"4767,5";"4797,75";"4790,5";"-303";"-9181";"1";"-1";"29";"28165";"4793";"12817";"-1859";"-1447";"355";"-631";"6436";"-9035";"0";"4799,5";"4780,25";"-19881";"-3481";"2384";"-1956"
"2024-01-08 00:00:00";"1339989";"828139";"353";"4803,25";"4715,25";"4735,75";"4798";"-14271";"10179";"1";"1";"249";"23664";"4800";"9422";"-2666";"-2260";"-2943";"-3157";"6861";"-41454";"0";"4803,25";"4751,75";"-36439";"14186";"-6597";"-6674"
"2024-01-05 00:00:00";"1663860";"1090055";"234";"4760,25";"4702";"4732,75";"4735,5";"-5750";"-3154";"1";"1";"11";"22385";"4735";"10180";"-705";"731";"-896";"1321";"7987";"7723";"0";"4745,25";"4715,5";"-9987";"2277";"-4635";"-3995"
"2024-01-04 00:00:00";"1299377";"884848";"159";"4766,5";"4727";"4750";"4732,25";"-19373";"-16107";"-1";"-1";"71";"19568";"4746";"13721";"-494";"-1318";"250";"-728";"6977";"-1051";"0";"4757";"4740";"-21783";"-3182";"3515";"2273"
"2024-01-03 00:00:00";"1587336";"1034277";"200";"4790,75";"4741";"4790,75";"4748,75";"-32890";"-17946";"-1";"-1";"168";"24926";"4756";"17219";"1824";"468";"499";"817";"6980";"1456";"0";"4763,25";"4745,5";"-18169";"5007";"-3442";"-1908"
"2024-01-02 00:00:00";"1549005";"939486";"251";"4828";"4765,5";"4818";"4788,5";"3909";"-9847";"-1";"-1";"118";"27752";"4787,5";"13706";"156";"-588";"610";"973";"6720";"19212";"0";"4791,25";"4775,5";"-11205";"8277";"5539";"6545"
"2023-12-29 00:00:00";"1129992";"680940";"178";"4841";"4796,75";"4834,75";"4812,75";"-17704";"-19868";"-1";"-1";"88";"22074";"4818,5";"9061";"1410";"1006";"-1430";"-5816";"5565";"34149";"0";"4822,25";"4803,25";"-21047";"-7155";"-5766";"-6836"
"2023-12-28 00:00:00";"848814";"513602";"55";"4841,5";"4828";"4834,5";"4833,5";"-3622";"1120";"-1";"-1";"4";"41207";"4834,5";"26631";"431";"537";"-300";"-726";"5044";"-1691";"0";"4837";"4832";"-751";"4630";"-3935";"-2326"
"2023-12-27 00:00:00";"949964";"570232";"81";"4836,5";"4816,5";"4827,75";"4834,75";"25994";"6254";"1";"1";"28";"26859";"4823";"16769";"2237";"913";"396";"721";"5269";"15925";"0";"4827,75";"4819,75";"-881";"7656";"2846";"1773"
"2023-12-26 00:00:00";"626490";"371247";"138";"4834,5";"4800,25";"4800,25";"4827";"9412";"9730";"1";"1";"107";"18215";"4825,25";"6996";"3735";"1235";"-248";"925";"4475";"14783";"0";"4827";"4813";"73";"9582";"3735";"1325"
"2023-12-22 00:00:00";"1260980";"762856";"149";"4821,75";"4784,75";"4795,75";"4799,25";"11556";"24434";"-1";"1";"14";"26667";"4805,25";"10023";"3175";"3125";"252";"-1201";"6447";"6467";"0";"4818,25";"4801,25";"11574";"20711";"6045";"6263"
"2023-12-21 00:00:00";"1624670";"1020086";"190";"4798,25";"4751";"4751";"4795,75";"-21178";"-21386";"1";"1";"179";"25304";"4796";"5398";"-12260";"-11624";"-1000";"-6405";"7557";"-5596";"0";"4798";"4772,75";"-29683";"-21906";"-12260";"-11624"
"2023-12-20 00:00:00";"1623367";"934537";"351";"4830,75";"4743,25";"4818,5";"4753,25";"-19535";"-32383";"-1";"-1";"261";"21727";"4822,5";"12695";"1479";"179";"-379";"-611";"6274";"-8062";"0";"4830,5";"4769,5";"-34391";"3846";"-3886";"-2400"
"2023-12-19 00:00:00";"1062805";"617938";"136";"4821,5";"4787,75";"4790,5";"4818,25";"16109";"11745";"1";"1";"111";"36425";"4813,75";"21311";"1453";"1677";"590";"-1135";"5092";"5342";"0";"4819,25";"4804,5";"589";"11775";"-4258";"2356"
"2023-12-18 00:00:00";"1077157";"611898";"132";"4802,25";"4769,5";"4770,5";"4790,25";"-11777";"-7733";"1";"1";"79";"31962";"4793";"11349";"5074";"4042";"400";"-926";"5414";"19516";"0";"4800,5";"4785,25";"-11869";"-7484";"5074";"4042"
"2023-12-15 00:00:00";"1628778";"1055823";"128";"4789";"4757,25";"4767,75";"4769,5";"-48788";"-34364";"-1";"1";"7";"39654";"4767";"20630";"666";"2380";"-2949";"-3063";"6868";"-18980";"0";"4775,25";"4763,75";"-38743";"-21966";"-10202";"-10804"
"2023-12-14 00:00:00";"1946018";"1208646";"183";"4791,75";"4746,25";"4760,75";"4768,5";"4070";"9792";"-1";"1";"31";"37296";"4775,25";"19567";"2846";"4466";"1096";"-1190";"7714";"-2620";"0";"4783,75";"4766,5";"-4718";"21596";"8029";"6811"
"2023-12-13 00:00:00";"1584814";"928432";"271";"4764,25";"4696,75";"4700,5";"4758,5";"32122";"18988";"1";"1";"232";"30468";"4703,5";"19015";"-1158";"-374";"-728";"-856";"5788";"105345";"0";"4749,25";"4696,75";"12394";"23801";"5928";"4397"
"2023-12-12 00:00:00";"1165888";"723035";"159";"4701,75";"4662,25";"4677,75";"4700,5";"216";"11030";"1";"1";"91";"22252";"4681,25";"14766";"298";"454";"-491";"1063";"5648";"149023";"0";"4688,75";"4665,25";"-2699";"10105";"-4669";"-4325"
"2023-12-11 00:00:00";"1023513";"662831";"111";"4679,5";"4652";"4660,75";"4677";"1943";"4219";"1";"1";"65";"25464";"4660,25";"18426";"-1318";"0";"-226";"954";"5536";"387811";"0";"4672";"4653,5";"-833";"5316";"3311";"2145"
"2023-12-08 00:00:00";"1424798";"901810";"209";"4613,75";"4561,75";"4586,5";"4607,25";"-49460";"-40248";"1";"1";"83";"41450";"4607,5";"8485";"-27148";"-25976";"-1068";"-8640";"6601";"-595900";"0";"4611,5";"4588,25";"-39427";"-40456";"-27148";"-25976"
"2023-12-07 00:00:00";"1602644";"951913";"190";"4596";"4548,75";"4556";"4585,75";"-2756";"16038";"1";"1";"119";"38704";"4588,75";"20496";"696";"1104";"238";"-853";"6267";"-968";"0";"4594,25";"4575,75";"428";"19754";"5637";"2526"
"2023-12-06 00:00:00";"1712027";"1022317";"187";"4598,5";"4552";"4573,25";"4556,5";"-34677";"-18103";"-1";"-1";"67";"26738";"4588,25";"16285";"1506";"800";"400";"1087";"6314";"-59834";"0";"4592,25";"4568,25";"-33164";"667";"-5300";"3780"
"2023-12-05 00:00:00";"1777516";"1143754";"121";"4585,5";"4555,5";"4573";"4573,25";"-3088";"-21654";"1";"1";"1";"47829";"4573,75";"30587";"455";"-777";"1539";"-2071";"6834";"-22166";"0";"4577";"4566";"-20186";"-19487";"8898";"5244"
"2023-12-04 00:00:00";"1725403";"1020930";"205";"4604,5";"4553,5";"4603,25";"4572,5";"-18297";"-24107";"-1";"-1";"123";"40528";"4571";"25367";"1194";"1374";"251";"-1591";"6186";"-6082";"0";"4579,5";"4562,25";"-24464";"-7320";"-7068";"-3202"
"2023-12-01 00:00:00";"1818296";"1176236";"182";"4607,75";"4562,5";"4571,75";"4604";"-11842";"-4246";"1";"1";"129";"33162";"4601,25";"13611";"-898";"-2362";"-2922";"-6053";"6582";"-52770";"0";"4607";"4573,75";"-23172";"-4073";"-6350";"-6308"
"2023-11-30 00:00:00";"1945933";"1162844";"140";"4579,5";"4544,75";"4562,25";"4571,75";"-1049";"-9855";"1";"1";"38";"40099";"4555,25";"25328";"-911";"-1701";"-244";"-1305";"6722";"-2867";"0";"4566,25";"4548,5";"-3260";"22965";"-5195";"-4101"
